arm,seed,phase,steps,high_risk_steps,latent_outside_fraction,near_upper_action_fraction,full_speed_fraction,braking_fraction,high_risk_braking_fraction,mean_latent_speed,mean_executed_speed_action
clip,1,early,46660,5004,0.42207458208315474,0.3554222031718817,0.14065580797256752,0.4304757822546078,0.4336530775379696,0.5867402108918037,0.36582561717855183
clip,1,middle,91540,9180,0.6949421018134149,0.6910640157308281,0.6006008302381473,0.255462093074066,0.24553376906318083,1.5000533096547637,0.7972509737643569
clip,1,late,46224,4869,0.7578314295604015,0.7569011768778124,0.6974515403253722,0.2057589131187262,0.2115424111727254,1.7058512593676585,0.850771874618127
clip,2,early,46750,5152,0.3819465240641711,0.299379679144385,0.0826951871657754,0.44838502673796793,0.4485636645962733,0.435865631908141,0.27922382493847286
clip,2,middle,90120,13143,0.665335108743897,0.6559920106524634,0.5447292498890368,0.28245672436750996,0.24872555733089857,1.4289678729986677,0.7515087668954271
clip,2,late,45964,5738,0.7351405447741711,0.7307893133756853,0.6631929336002088,0.2280480375946393,0.1986754966887417,1.6639629635055693,0.8207262218119753
clip,3,early,46690,5520,0.38010280573998717,0.29665881345041767,0.07637609766545299,0.451959734418505,0.4577898550724638,0.42878340673454146,0.2783035954590331
clip,3,middle,91270,10618,0.7232058726854388,0.7177057083378986,0.6326832475073957,0.23335159417114057,0.24373705029195705,1.6336167801581336,0.8065479813062999
clip,3,late,46414,4765,0.8080105140690309,0.8072133408023441,0.7678717628301805,0.1670616624294394,0.16222455403987407,1.954428012000727,0.8812206972913883
speed_tanh,1,early,47035,4695,0.3779100669714043,0.01826299564154353,0.002274901668969916,0.45415116402678857,0.4822151224707135,0.41404066668945927,0.23732169953682614
speed_tanh,1,middle,91875,8732,0.788908843537415,0.2457360544217687,0.15952108843537416,0.2812517006802721,0.28985341273476867,1.883509758330851,0.8144092396296212
speed_tanh,1,late,46554,4023,0.8461141899729346,0.3149890449800232,0.21785453451905315,0.24481247583451476,0.2575192642306736,2.1143634163911345,0.8640749564831972
speed_tanh,2,early,46840,5371,0.4126814688300598,0.02747651579846285,0.005828351836037575,0.44771562766865924,0.45838763731148763,0.5220214020796594,0.28909437610107985
speed_tanh,2,middle,91900,9469,0.7490750816104461,0.22589771490750815,0.14315560391730142,0.30455930359085964,0.3132326539233288,1.7637430205882016,0.7711599729953509
speed_tanh,2,late,46404,4718,0.8927032152400655,0.4358675976208948,0.34354797000258597,0.19024222049823292,0.20707927087749045,2.4537146484994543,0.901352190821437
speed_tanh,3,early,46860,4836,0.4164319248826291,0.027379428083653436,0.0057831839521980365,0.4431284677763551,0.4605045492142266,0.5638472860506184,0.31593863019003415
speed_tanh,3,middle,91590,10052,0.7740583033082215,0.22122502456600066,0.1382902063544055,0.2918331695599956,0.2994428969359331,1.802367528629415,0.8021202651801972
speed_tanh,3,late,46434,4941,0.9260024981694448,0.4936038247835638,0.40384201231855965,0.1519576172632123,0.13640963367739323,2.625457900353461,0.930542465497067
