split,method,reason,count,ids
same_distribution,clip-seed1,dynamic_collision,20,5 9 19 36 68 73 77 96 97 106 112 131 132 133 145 148 172 176 206 232
same_distribution,clip-seed1,static_collision_1,16,21 163 180 182 188 199 203 205 215 217 221 226 228 229 235 236
same_distribution,clip-seed1,static_collision_2,37,0 2 3 4 8 12 14 18 22 23 26 32 33 34 38 43 44 45 46 47 50 51 52 55 88 94 99 100 121 129 143 146 169 195 197 198 227
same_distribution,clip-seed2,dynamic_collision,26,64 80 82 89 92 94 98 99 100 103 109 110 114 118 119 123 124 136 138 140 143 151 159 164 173 174
same_distribution,clip-seed2,static_collision_1,41,9 66 69 73 90 107 126 134 142 144 158 163 167 168 180 182 185 188 189 191 193 199 202 203 204 205 208 211 216 217 219 221 222 223 226 228 229 234 236 238 239
same_distribution,clip-seed2,static_collision_2,13,1 3 4 25 34 44 52 55 62 63 77 96 152
same_distribution,clip-seed3,dynamic_collision,17,64 80 82 89 99 100 109 118 119 123 124 136 138 140 151 164 173
same_distribution,clip-seed3,static_collision_1,38,9 66 69 90 94 114 126 134 142 144 167 168 182 183 185 188 191 193 194 195 196 197 199 202 204 211 216 217 219 222 223 226 228 229 234 236 238 239
same_distribution,clip-seed3,static_collision_2,12,1 3 4 25 31 34 44 50 52 55 62 96
same_distribution,speed_tanh-seed1,dynamic_collision,22,5 68 77 96 106 112 126 129 131 132 133 134 145 146 148 149 150 165 172 176 206 232
same_distribution,speed_tanh-seed1,static_collision_1,17,105 163 180 182 186 188 190 199 203 204 217 221 226 229 234 235 236
same_distribution,speed_tanh-seed1,static_collision_2,18,2 3 4 8 18 21 23 26 32 34 38 45 46 47 52 55 121 198
same_distribution,speed_tanh-seed2,dynamic_collision,21,5 68 73 77 96 97 106 126 129 131 133 134 145 146 148 149 150 165 172 176 206
same_distribution,speed_tanh-seed2,static_collision_1,18,107 180 182 186 188 190 199 202 203 205 217 220 221 226 228 229 235 236
same_distribution,speed_tanh-seed2,static_collision_2,26,0 2 3 4 12 14 23 32 34 38 44 45 47 51 52 55 88 94 99 100 143 169 195 197 198 227
same_distribution,speed_tanh-seed3,dynamic_collision,24,64 66 70 80 82 87 88 89 94 99 100 103 108 109 110 113 114 118 124 136 140 151 164 173
same_distribution,speed_tanh-seed3,static_collision_1,27,9 69 142 144 163 167 168 180 182 185 188 191 193 199 202 204 211 216 217 219 222 223 226 234 236 238 239
same_distribution,speed_tanh-seed3,static_collision_2,23,1 4 25 34 35 44 52 55 62 63 77 78 86 91 96 98 116 152 161 170 215 218 220
same_distribution,DWA,timeout,3,182 199 236
challenge,clip-seed1,dynamic_collision,20,63 64 66 68 69 71 73 74 75 76 77 78 79 80 81 82 83 85 87 89
challenge,clip-seed1,static_collision_1,6,91 95 96 102 107 110
challenge,clip-seed1,static_collision_2,16,0 1 7 12 13 16 17 22 24 25 26 27 28 97 98 115
challenge,clip-seed2,dynamic_collision,17,31 32 33 34 35 37 40 41 47 48 49 50 52 55 56 57 59
challenge,clip-seed2,static_collision_1,26,3 8 29 36 43 44 54 58 60 72 77 86 87 93 95 97 99 102 103 104 105 107 110 111 113 114
challenge,clip-seed2,static_collision_2,9,7 12 13 17 19 22 112 118 119
challenge,clip-seed3,dynamic_collision,19,31 32 33 34 35 37 40 41 46 47 48 49 50 51 52 55 56 57 59
challenge,clip-seed3,static_collision_1,17,3 60 67 86 93 95 97 99 103 104 105 107 110 111 113 114 117
challenge,clip-seed3,static_collision_2,3,7 19 22
challenge,speed_tanh-seed1,dynamic_collision,20,63 64 66 68 69 71 73 74 75 76 77 78 79 80 81 82 83 85 87 89
challenge,speed_tanh-seed1,static_collision_1,9,43 91 95 96 102 107 110 111 116
challenge,speed_tanh-seed1,static_collision_2,13,0 1 7 12 13 16 17 24 25 26 28 97 115
challenge,speed_tanh-seed2,dynamic_collision,20,63 64 66 68 69 71 73 74 75 76 77 78 79 80 81 82 83 85 87 89
challenge,speed_tanh-seed2,static_collision_1,12,36 54 58 70 84 91 95 96 102 107 110 116
challenge,speed_tanh-seed2,static_collision_2,16,0 1 7 12 13 16 17 22 24 25 26 28 97 98 115 117
challenge,speed_tanh-seed3,dynamic_collision,20,9 31 32 33 34 35 37 40 41 46 47 48 49 50 51 52 55 56 57 59
challenge,speed_tanh-seed3,static_collision_1,15,2 8 43 60 86 93 95 97 99 105 107 110 111 113 114
challenge,speed_tanh-seed3,static_collision_2,12,5 7 19 20 22 68 90 103 109 112 118 119
challenge,DWA,timeout,1,107
