method,dataset,outcome,zone,n,mean,std,p_upper_clip,p_brake_0_1,sample_brake_fraction,v_after,delta_v,deterministic_upper_clip_fraction,deterministic_brake_fraction
base-seed1,validation_D,all,steady,6290,1.6626927278000145,0.9966651797294617,0.7447261265980158,0.23449770718355348,0.23468551271860094,3.0,0.0,1.0,0.0
base-seed1,validation_D,all,high_risk,633,1.7057246306872857,0.9966651797294617,0.759696753327202,0.22007026683118514,0.2211443522906793,3.0,0.0,1.0,0.0
base-seed1,validation_D,all,static_near,261,1.657814050542897,0.9966651797294617,0.7440514896528464,0.23503950596115583,0.23473419540229884,3.0,0.0,1.0,0.0
base-seed1,validation_D,success,steady,5579,1.652075355573033,0.9966651797294617,0.741201733343563,0.23787680138780715,0.23802148682559598,3.0,0.0,1.0,0.0
base-seed1,validation_D,success,high_risk,346,1.6913278847071476,0.9966651797294617,0.7552107591950188,0.22434265935010497,0.2265625,3.0,0.0,1.0,0.0
base-seed1,validation_D,success,static_near,193,1.653378621901873,0.9966651797294617,0.7423271041054164,0.23671613487112375,0.2349417098445596,3.0,0.0,1.0,0.0
base-seed1,validation_D,failure,steady,711,1.746004007201322,0.9966651797294617,0.7723809648070068,0.20798298627563333,0.20850914205344584,3.0,0.0,1.0,0.0
base-seed1,validation_D,failure,high_risk,287,1.7230809864682188,0.9966651797294617,0.7651049553123429,0.21491957759234787,0.2146123693379791,3.0,0.0,1.0,0.0
base-seed1,validation_D,failure,static_near,68,1.6704028406563927,0.9966651797294617,0.7489457015742281,0.23028083861374674,0.23414522058823528,3.0,0.0,1.0,0.0
base-seed1,common_encounters,all,steady,7190,1.6643552806015969,0.9966651797294617,0.7458005756411048,0.23340992635716967,0.23288204102920723,3.0,0.0,1.0,0.0
base-seed1,common_encounters,all,high_risk,502,1.7340693461942482,0.9966651797294617,0.7681528023459709,0.21205227690633482,0.2125871513944223,3.0,0.0,1.0,0.0
base-seed1,common_encounters,all,static_near,183,1.678850898325769,0.9966651797294617,0.7509942252971157,0.22839042754961533,0.22447062841530055,3.0,0.0,1.0,0.0
base-seed1,common_encounters,success,steady,6321,1.6504317748737078,0.9966651797294617,0.741342166414472,0.23766816778550334,0.23691118889416232,3.0,0.0,1.0,0.0
base-seed1,common_encounters,success,high_risk,251,1.6934325676040345,0.9966651797294617,0.7556293579085651,0.22396424966873935,0.22316982071713148,3.0,0.0,1.0,0.0
base-seed1,common_encounters,success,static_near,136,1.6553146865438013,0.9966651797294617,0.7435746878102885,0.23546369185969612,0.23069852941176472,3.0,0.0,1.0,0.0
base-seed1,common_encounters,failure,steady,869,1.7656331628869675,0.9966651797294617,0.7782305005220551,0.20243599762472209,0.20357451093210588,3.0,0.0,1.0,0.0
base-seed1,common_encounters,failure,high_risk,251,1.774706124784462,0.9966651797294617,0.7806762467833769,0.2001403041439304,0.20200448207171315,3.0,0.0,1.0,0.0
base-seed1,common_encounters,failure,static_near,47,1.7469556813544416,0.9966651797294617,0.7724635252589988,0.2079231095459773,0.2064494680851064,3.0,0.0,1.0,0.0
base-seed2,validation_D,all,steady,5687,1.3375111544972798,1.0293315649032593,0.627316968309454,0.3484985448225537,0.34886858185334974,2.999222404260469,-2.072583042256795e-05,0.9850536310884473,0.0
base-seed2,validation_D,all,high_risk,728,1.3978353231162814,1.0293315649032593,0.6496012282331666,0.326852386381577,0.3236607142857143,3.0,0.0,1.0,0.0
base-seed2,validation_D,all,static_near,290,1.3712712425610114,1.0293315649032593,0.6398157366632653,0.336352089994445,0.3337823275862069,2.999397058219745,-0.00023775902287713412,0.9862068965517241,0.0
base-seed2,validation_D,success,steady,4670,1.3174051133672482,1.0293315649032593,0.6199013007009712,0.3557180869339703,0.3564808618843683,2.999053064888499,-2.5239357090608978e-05,0.9817987152034261,0.0
base-seed2,validation_D,success,high_risk,285,1.3844196587278133,1.0293315649032593,0.644701158288366,0.33164886208307587,0.32456140350877194,3.0,0.0,1.0,0.0
base-seed2,validation_D,success,static_near,190,1.3327435553073883,1.0293315649032593,0.6258467711026616,0.3499405562674575,0.3447368421052632,2.9990797204406636,-0.0003628953507072047,0.9789473684210527,0.0
base-seed2,validation_D,failure,steady,1017,1.4298368300894604,1.0293315649032593,0.6613692472982592,0.31534686177406246,0.313913470993117,3.0,0.0,1.0,0.0
