#{"t_start": 1789401906.061378, "env_id": "None"}
r,l,t,episode_base_return,episode_risk_return,episode_training_return
55.956677,77,0.840282,55.9566767344873,0.0,55.9566767344873
-270.317012,337,1.079626,-270.3170124046421,0.0,-270.3170124046421
102.848712,108,1.156462,102.8487120149843,0.0,102.8487120149843
69.713683,65,1.205382,69.71368259275343,0.0,69.71368259275343
159.208121,411,1.498871,159.20812098597563,0.0,159.20812098597563
46.159443,600,1.920549,46.15944337658709,0.0,46.15944337658709
-242.238661,351,2.164706,-242.23866085795385,0.0,-242.23866085795385
190.859644,259,2.903888,190.8596443554044,0.0,190.8596443554044
324.530809,281,3.120594,324.5308088683497,0.0,324.5308088683497
355.3711,487,3.466979,355.3710998641741,0.0,355.3710998641741
150.332249,389,3.74619,150.332249039643,0.0,150.332249039643
62.510277,600,4.181834,62.510277424367644,0.0,62.510277424367644
94.96489,68,4.231688,94.96489017167261,0.0,94.96489017167261
-7.615888,53,4.270938,-7.615887841353896,0.0,-7.615887841353896
985.809629,357,5.091504,985.8096287273939,0.0,985.8096287273939
327.412591,299,5.30318,327.4125907667429,0.0,327.4125907667429
452.356544,536,5.688567,452.35654350466643,0.0,452.35654350466643
368.846334,487,6.034852,368.84633383910034,0.0,368.84633383910034
64.758851,89,6.098758,64.75885078194003,0.0,64.75885078194003
947.135339,253,6.280234,947.1353392390947,0.0,947.1353392390947
55.327106,91,6.904785,55.32710589667616,0.0,55.32710589667616
328.880202,183,7.037021,328.8802018212027,0.0,328.8802018212027
178.630634,127,7.12938,178.63063393916175,0.0,178.63063393916175
385.76981,328,7.367653,385.7698097253405,0.0,385.7698097253405
447.106821,210,7.516437,447.10682115896986,0.0,447.10682115896986
414.643545,203,7.658469,414.6435445507251,0.0,414.6435445507251
307.940329,595,8.082986,307.9403286718785,0.0,307.9403286718785
959.982695,469,9.011003,959.9826952993502,0.0,959.9826952993502
960.198963,450,9.327334,960.198962572755,0.0,960.198962572755
23.532637,48,9.362095,23.53263659561199,0.0,23.53263659561199
365.571283,151,9.47021,365.5712829904371,0.0,365.5712829904371
387.025545,161,9.585002,387.0255451168341,0.0,387.0255451168341
118.874223,77,9.64158,118.87422277276612,0.0,118.87422277276612
379.397378,137,9.741278,379.39737784256965,0.0,379.39737784256965
973.296636,218,9.896556,973.2966364316031,0.0,973.2966364316031
624.582622,417,10.191973,624.5826222386261,0.0,624.5826222386261
47.382902,45,13.949079,47.38290201371379,0.0,47.38290201371379
28.155688,70,14.000669,28.155687555516437,0.0,28.155687555516437
974.941903,437,14.860532,974.9419029080935,0.0,974.9419029080935
118.781698,113,14.944504,118.78169754229609,0.0,118.78169754229609
-9.765989,54,14.984881,-9.765988665998435,0.0,-9.765988665998435
-16.342939,37,15.012069,-16.34293910019862,0.0,-16.34293910019862
932.21608,217,15.164712,932.2160804291404,0.0,932.2160804291404
449.628483,285,15.370484,449.62848344969024,0.0,449.62848344969024
284.356766,160,15.482986,284.35676644837963,0.0,284.35676644837963
964.204078,214,15.634811,964.2040780150023,0.0,964.2040780150023
322.044241,139,15.734048,322.04424128575755,0.0,322.04424128575755
666.982474,600,16.715768,666.9824738740664,0.0,666.9824738740664
0.179407,37,16.744453,0.17940652482236885,0.0,0.17940652482236885
506.553577,297,16.956207,506.55357695738707,0.0,506.55357695738707
-48.684438,24,16.977386,-48.68443846967375,0.0,-48.68443846967375
64.425505,51,17.012134,64.42550517550838,0.0,64.42550517550838
385.139745,181,17.139667,385.13974511643806,0.0,385.13974511643806
1025.923273,221,17.300424,1025.9232727297601,0.0,1025.9232727297601
86.136958,62,17.34442,86.1369582781403,0.0,86.1369582781403
-28.434659,30,17.367693,-28.43465945640662,0.0,-28.43465945640662
49.430636,73,17.419015,49.43063644512725,0.0,49.43063644512725
384.129215,215,17.571212,384.12921512483007,0.0,384.12921512483007
-38.3098,26,17.604303,-38.30980016994023,0.0,-38.30980016994023
608.317653,262,17.792681,608.3176525317512,0.0,608.3176525317512
15.922038,45,17.826524,15.922038096493665,0.0,15.922038096493665
977.921889,298,18.037542,977.9218889153661,0.0,977.9218889153661
941.189447,266,18.783911,941.1894465372492,0.0,941.1894465372492
96.327677,59,18.82783,96.32767739340512,0.0,96.32767739340512
633.22854,322,19.060674,633.2285399549316,0.0,633.2285399549316
293.317581,146,19.16442,293.3175810847987,0.0,293.3175810847987
44.239714,50,19.200702,44.2397135065342,0.0,44.2397135065342
541.692279,269,19.393689,541.6922792369003,0.0,541.6922792369003
965.562084,308,19.612627,965.5620842950517,0.0,965.5620842950517
94.962269,68,19.664014,94.96226901353543,0.0,94.96226901353543
916.30582,482,20.00514,916.3058204858739,0.0,916.3058204858739
340.997595,175,20.129163,340.99759479543985,0.0,340.99759479543985
994.238608,241,20.856442,994.2386075964325,0.0,994.2386075964325
-31.756518,35,20.882111,-31.756517593505862,0.0,-31.756517593505862
101.827246,86,20.945985,101.82724644276752,0.0,101.82724644276752
950.16811,222,21.104198,950.1681102296784,0.0,950.1681102296784
914.194066,289,21.313707,914.1940661331162,0.0,914.1940661331162
1004.0258,248,21.490253,1004.0257998495802,0.0,1004.0257998495802
939.643754,293,21.704014,939.6437544334322,0.0,939.6437544334322
113.367966,61,21.74783,113.36796568669526,0.0,113.36796568669526
182.338161,95,21.817278,182.33816084546436,0.0,182.33816084546436
74.156198,60,21.862892,74.15619849747286,0.0,74.15619849747286
239.657554,138,21.963737,239.6575541793421,0.0,239.6575541793421
964.315652,279,22.158662,964.3156516203707,0.0,964.3156516203707
992.933025,349,22.957957,992.9330252507009,0.0,992.9330252507009
191.641967,106,23.034973,191.64196704645272,0.0,191.64196704645272
66.202846,64,23.080848,66.20284629628063,0.0,66.20284629628063
417.265392,143,23.184077,417.2653923695709,0.0,417.2653923695709
920.139789,216,23.33928,920.1397887406275,0.0,920.1397887406275
982.385079,269,23.530679,982.385079281185,0.0,982.385079281185
1000.261032,216,23.686732,1000.2610321458644,0.0,1000.2610321458644
995.104242,228,23.849809,995.1042423935866,0.0,995.1042423935866
-57.419353,22,23.86749,-57.419352958421754,0.0,-57.419352958421754
981.142698,240,27.561369,981.1426978962327,0.0,981.1426978962327
90.134231,52,27.600551,90.13423070038384,0.0,90.13423070038384
382.505052,139,27.700133,382.5050518716482,0.0,382.5050518716482
1005.399906,249,28.429914,1005.3999055729197,0.0,1005.3999055729197
934.169759,254,28.607349,934.1697588290713,0.0,934.1697588290713
412.909248,144,28.712346,412.9092478597483,0.0,412.9092478597483
963.959849,212,28.863546,963.9598492715945,0.0,963.9598492715945
6.29829,47,28.900932,6.298290147579024,0.0,6.298290147579024
439.558812,148,29.005932,439.5588121876759,0.0,439.5588121876759
952.142148,264,29.189261,952.1421479721063,0.0,952.1421479721063
952.756353,219,29.347036,952.7563528052067,0.0,952.7563528052067
954.525863,234,29.513774,954.5258625263555,0.0,954.5258625263555
342.108168,142,29.61424,342.1081676088953,0.0,342.1081676088953
950.518717,223,30.330845,950.5187165752577,0.0,950.5187165752577
951.727073,248,30.506506,951.7270725582189,0.0,951.7270725582189
1009.549634,220,30.663747,1009.5496343049867,0.0,1009.5496343049867
987.424734,249,30.843183,987.4247341280916,0.0,987.4247341280916
1008.095631,251,31.023845,1008.0956307851868,0.0,1008.0956307851868
321.575007,124,31.121217,321.57500719972484,0.0,321.57500719972484
348.970143,122,31.217209,348.97014284852173,0.0,348.97014284852173
111.156414,56,31.264145,111.1564138959069,0.0,111.1564138959069
991.81603,235,31.444988,991.81602999736,0.0,991.81602999736
990.801794,241,31.6268,990.8017935134208,0.0,990.8017935134208
346.493477,119,31.718222,346.4934771394188,0.0,346.4934771394188
957.853554,214,32.490179,957.8535535589774,0.0,957.8535535589774
961.243823,209,32.642787,961.2438233686262,0.0,961.2438233686262
1014.252397,241,32.813941,1014.252397047959,0.0,1014.252397047959
984.166376,236,32.985557,984.1663760448102,0.0,984.1663760448102
940.388071,227,33.149596,940.3880711133467,0.0,940.3880711133467
106.216551,59,33.194338,106.21655145844636,0.0,106.21655145844636
150.076659,83,33.254575,150.07665871374812,0.0,150.07665871374812
379.779973,132,33.349851,379.77997295135265,0.0,379.77997295135265
982.740401,245,33.525785,982.7404006258628,0.0,982.7404006258628
935.868383,328,33.757806,935.8683829118105,0.0,935.8683829118105
488.686206,157,33.87047,488.6862060156823,0.0,488.6862060156823
1009.352794,200,34.565143,1009.3527936471675,0.0,1009.3527936471675
371.806704,116,34.648277,371.8067042035892,0.0,371.8067042035892
201.150734,92,34.71633,201.1507338394923,0.0,201.1507338394923
139.751171,75,34.772195,139.75117058360217,0.0,139.75117058360217
-17.728637,29,34.796243,-17.72863675154987,0.0,-17.72863675154987
83.78909,56,34.83711,83.78908957326412,0.0,83.78908957326412
116.387999,56,34.879005,116.3879990749092,0.0,116.3879990749092
56.113581,56,34.919979,56.113580539389716,0.0,56.113580539389716
-34.427538,25,34.938295,-34.42753813637485,0.0,-34.42753813637485
928.796229,187,35.071676,928.7962286305267,0.0,928.7962286305267
217.735857,103,35.148885,217.73585717242517,0.0,217.73585717242517
952.943074,187,35.2833,952.9430738347514,0.0,952.9430738347514
321.958931,120,35.370541,321.95893064446125,0.0,321.95893064446125
149.668505,73,35.421954,149.66850533727293,0.0,149.66850533727293
-31.51377,22,35.441259,-31.51376980151943,0.0,-31.51376980151943
195.135053,87,35.505385,195.1350530249235,0.0,195.1350530249235
942.29426,224,35.664683,942.2942597866725,0.0,942.2942597866725
998.41853,183,35.796687,998.4185295823588,0.0,998.4185295823588
133.160357,65,35.843855,133.16035719419236,0.0,133.16035719419236
969.637573,177,35.969026,969.6375729698641,0.0,969.6375729698641
76.219409,64,36.570653,76.21940899200803,0.0,76.21940899200803
933.994945,201,36.71913,933.9949447437425,0.0,933.9949447437425
-52.837315,24,36.73736,-52.83731505200128,0.0,-52.83731505200128
326.435761,115,36.820953,326.4357613705705,0.0,326.4357613705705
-31.1465,30,36.845274,-31.146499686064004,0.0,-31.146499686064004
59.437354,42,36.876797,59.43735423496807,0.0,59.43735423496807
77.315871,51,36.913112,77.31587094732554,0.0,77.31587094732554
230.318974,94,36.982659,230.31897412120765,0.0,230.31897412120765
970.052825,186,37.116538,970.0528250153591,0.0,970.0528250153591
974.364179,183,37.246416,974.3641788178319,0.0,974.3641788178319
-49.993667,24,37.264597,-49.9936667719368,0.0,-49.9936667719368
919.177251,178,37.39153,919.1772514120512,0.0,919.1772514120512
992.480136,184,40.427611,992.4801358260947,0.0,992.4801358260947
939.913184,206,40.583907,939.9131841237861,0.0,939.9131841237861
63.018727,77,40.641269,63.01872664278994,0.0,63.01872664278994
390.249539,126,40.737331,390.2495394574073,0.0,390.2495394574073
19.502676,40,40.76926,19.50267633339263,0.0,19.50267633339263
126.714144,62,40.817851,126.714143595362,0.0,126.714143595362
945.394517,188,41.561432,945.394517181677,0.0,945.394517181677
