scenario_id,scenario_type,variant,success,termination_reason,collision_type,episode_reward,steps,path_length,path_efficiency,mean_signed_route_offset,route_side,initial_linear_action,initial_angular_action,min_dynamic_center_distance,min_dynamic_clearance,risk_level,first_turn_time,first_slowdown_time,intervention_geometry_issue,matched_time_path_rms_difference,matched_time_action_rms_difference
0,head_on,baseline,True,success,none,986.7024903477504,147,85.49999999999997,0.9264917111688897,-10.910230137554885,below,1.0,-0.6426262855529785,10.919855088169065,6.919855088169065,conflict,0.0,,none,0.0,0.0
0,head_on,freeze_dynamic,True,success,none,982.8598171716947,151,87.90000000000006,0.9011950091574515,-10.842463444183366,below,1.0,-0.6324856281280518,6.529614297664926,2.529614297664926,conflict,0.0,,none,1.0963130359535265,0.033258937299251556
0,head_on,mirror_y,True,success,none,990.9152219806742,142,82.50000000000006,0.9601823188477574,-7.647582831208758,below,1.0,-0.42042815685272217,10.091715315728198,6.091715315728198,conflict,0.0,,none,16.176558467772793,0.12921233475208282
0,head_on,reverse_dynamic,True,success,none,986.5499042408746,149,86.7,0.9136682964814307,-10.314741633225857,below,1.0,-0.6212826371192932,48.26527344619027,44.26527344619027,conflict,0.0,,none,0.8826508390164578,0.025964543223381042
0,head_on,slow_dynamic,True,success,none,981.2953484724673,149,86.69999999999999,0.9136682964814309,-11.058425395359716,below,1.0,-0.6376831531524658,5.897089779338546,1.897089779338546,conflict,0.0,,none,0.8364264808365054,0.025275645777583122
1,head_on,baseline,True,success,none,955.115182037026,140,81.29999999999998,0.9437342340499907,-9.161003372512589,below,1.0,-0.42537790536880493,4.237629107856207,0.23762910785620672,time_separated,0.0,,none,0.0,0.0
1,head_on,freeze_dynamic,True,success,none,964.8286987141025,140,81.29999999999997,0.9437342340499909,-9.142694972303715,below,1.0,-0.4174351096153259,13.746935934935939,9.746935934935939,time_separated,0.0,,none,1.0660664609778387,0.040284156799316406
1,head_on,mirror_y,True,success,none,964.3480441191275,141,81.90000000000005,0.9368204301375358,-8.948285126121208,below,1.0,-0.6583006381988525,25.15937227709594,21.15937227709594,time_separated,0.0,,none,15.708101276218315,0.1341378092765808
1,head_on,reverse_dynamic,True,success,none,965.0256000841877,140,81.30000000000004,0.9437342340499901,-8.614175739449289,below,1.0,-0.4086199700832367,38.1204530265763,34.1204530265763,time_separated,0.0,,none,1.33447800712761,0.04873775318264961
1,head_on,slow_dynamic,True,success,none,965.1268860982102,140,81.29999999999998,0.9437342340499907,-9.250442257803202,below,1.0,-0.4215098023414612,7.92184803814705,3.9218480381470497,time_separated,0.0,,none,0.6144323986718472,0.027837226167321205
2,head_on,baseline,True,success,none,994.6258725461845,139,80.70000000000006,0.9869263082024916,-3.2145947193553592,below,1.0,-0.4223301410675049,22.28242719830015,18.28242719830015,receding,0.0,,none,0.0,0.0
2,head_on,freeze_dynamic,True,success,none,994.138111447533,139,80.70000000000003,0.9869263082024919,-3.390481916251562,below,1.0,-0.4066530466079712,22.28242719830015,18.28242719830015,receding,0.0,,none,0.15762250971073316,0.0016334881074726582
