scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency,mean_inference_ms,p95_inference_ms,total_heading_variation,full_speed_fraction
0,head_on,standard,conflict,two_sides,True,success,none,962.3433715228965,139,27.8,80.70000000000007,76.79934613645538,2.693567384972383,5.604389715274844,0.6043897152748441,11.246991329923349,7.246991329923349,59,11.8,0.9516647600552084,0.12060503597645986,0.14857999340165393,1.3371545883006153,0.9285714285714286
1,head_on,standard,conflict,mixed,True,success,none,980.0559913297651,142,28.400000000000002,82.50000000000001,78.36063074945744,2.64503161648089,11.335249546523974,6.335249546523974,9.909017946488385,5.909017946488385,64,12.8,0.9498258272661506,0.12094225336036736,0.16181999744730993,1.371039121245136,0.9300699300699301
2,head_on,standard,conflict,two_sides,False,static_collision_2,static_collision_2,383.998098814381,97,19.400000000000002,55.50000000000004,78.6934274524181,30.707236451240128,4.513451171772302,-0.48654882822769796,12.661844434004946,8.661844434004946,76,15.200000000000001,,0.1277329910848981,0.18460000574123112,1.14518935090709,0.8979591836734694
3,head_on,standard,conflict,mixed,True,success,none,969.7766602423499,141,28.200000000000003,81.90000000000002,77.29068194382502,2.608015919589994,7.774461583307344,2.7744615833073443,10.814153891287381,6.814153891287381,50,10.0,0.9437201702542736,0.11616879442528366,0.14630000805482268,1.3933980112386506,0.9295774647887324
4,head_on,standard,conflict,mixed,False,static_collision_1,static_collision_1,111.48802465985835,51,10.200000000000001,27.9,79.13222430159,58.63839717290809,4.665905004369444,-0.3340949956305561,21.198743695267304,17.198743695267304,51,10.200000000000001,,0.12715097988143054,0.203950003196951,0.7040307569078528,0.8076923076923077
5,head_on,standard,conflict,mixed,True,success,none,980.096321593999,142,28.400000000000002,82.49999999999996,78.41773888439567,2.6981067249957555,7.06810983544267,2.0681098354426704,9.76089048979521,5.7608904897952105,54,10.8,0.9505180470835844,0.11846126740942643,0.1620650029508395,1.383923100895175,0.9300699300699301
6,head_on,standard,conflict,two_sides,False,static_collision_2,static_collision_2,395.5903383064599,98,19.6,56.10000000000004,75.6974347830512,26.556374191693752,4.911882404065647,-0.08811759593435298,10.862519075309102,6.862519075309102,61,12.200000000000001,,0.11807448947588361,0.1416800012520979,1.171285088413589,0.898989898989899
7,head_on,standard,conflict,mixed,True,success,none,939.7470776820368,136,27.200000000000003,78.89999999999999,74.60956088698177,2.954853118778073,8.544240618357238,3.5442406183572377,11.103830180324305,7.103830180324305,53,10.600000000000001,0.9456218109883622,0.12770441207976546,0.17764999938663095,1.4104079592501189,0.927007299270073
8,head_on,standard,conflict,mixed,True,success,none,937.0993766204193,136,27.200000000000003,78.89999999999998,73.95371984636326,2.563782184321281,9.834202015831384,4.834202015831384,11.491707095911282,7.491707095911282,69,13.8,0.9373095037561886,0.11049926465870265,0.12399999832268804,1.502578081915976,0.927007299270073
9,head_on,standard,receding,two_sides,False,static_collision_2,static_collision_2,390.9663687590629,96,19.200000000000003,54.90000000000003,81.340851175316,32.68170780803537,4.99256938482405,-0.007430615175949562,27.113998243953233,23.113998243953233,14,2.8000000000000003,,0.10955520747302216,0.12349999451544136,1.0012383936308857,0.8969072164948454
