scenario_type,scenario_count,success_count,success_rate,success_rate_wilson_95_low,success_rate_wilson_95_high,static_collision_count,dynamic_collision_count,average_path_length,successful_average_path_efficiency,average_navigation_time,average_min_static_clearance,average_min_dynamic_clearance
crossing_left,18,18,1.0,0.8241207763533425,1.0,0,0,78.86666666666669,0.9774132516870898,27.18888888888889,5.517975171777824,9.030871241054516
crossing_right,11,5,0.45454545454545453,0.21271271622459764,0.719908462590678,1,5,43.44545454545456,0.9778545438175558,15.381818181818181,8.690929116349473,9.094808711711549
head_on,13,11,0.8461538461538461,0.5776536898051745,0.9567418216419186,2,0,75.99230769230772,0.9638452220482755,26.23076923076923,4.6373251084489695,5.65251709030447
overtaking,18,11,0.6111111111111112,0.3861904160223791,0.7969475342783638,7,0,58.76666666666669,0.9548659162828745,20.488888888888894,1.3199185294473503,12.465034532923404
