scenario_type,scenario_count,success_count,success_rate,success_rate_wilson_95_low,success_rate_wilson_95_high,static_collision_count,dynamic_collision_count,average_path_length,successful_average_path_efficiency,average_navigation_time,average_min_static_clearance,average_min_dynamic_clearance
crossing_left,60,38,0.6333333333333333,0.5068300063010303,0.7437908331277456,18,4,69.08,0.9482816570876488,23.926666666666666,4.585657260512077,14.067510907911174
crossing_right,60,36,0.6,0.4736605349204075,0.7143050946511744,19,5,69.05,0.9243891741830293,23.91666666666667,4.984276509606144,8.587695321049226
head_on,60,37,0.6166666666666667,0.49017595824099924,0.7291172762591798,21,2,69.12000000000002,0.9357998961820361,23.939999999999998,3.7088250478150586,11.781435609181793
overtaking,60,42,0.7,0.5749129205308552,0.8010183386123089,13,5,68.81000000000002,0.9469189940379303,23.836666666666662,3.2642124160354857,11.111441197684252
