split,stage,metric,n_seeds,mean,sample_sd,seed_t_95_low,seed_t_95_high
same_distribution,C,success_rate,3,0.6958333333333333,0.033333333333333326,0.6130287429387585,0.7786379237279081
same_distribution,C,collision_rate,3,0.30416666666666664,0.033333333333333354,0.2213620762720918,0.38697125706124147
same_distribution,C,static_collision_rate,3,0.2513888888888889,0.050917507721731564,0.12490278776457145,0.37787499001320635
same_distribution,C,dynamic_collision_rate,3,0.05277777777777778,0.019245008972987525,0.0049705252233333275,0.10058503033222223
same_distribution,C,successful_average_path_efficiency,3,0.9497257578879048,0.0008206103108568248,0.9476872488679828,0.9517642669078268
same_distribution,C,average_navigation_time,3,23.6675,1.3912392058081828,20.211470222665398,27.123529777334603
same_distribution,C,average_reward,3,740.1180214094496,51.067591929870076,613.2590904437441,866.9769523751552
same_distribution,C,average_min_static_clearance,3,4.241834271408987,0.22675524121416257,3.678543025352135,4.8051255174658385
same_distribution,C,average_min_dynamic_clearance,3,10.912640460222855,1.0887722962968598,8.207980139388193,13.617300781057518
same_distribution,C,mean_inference_ms,3,0.12433787437793824,0.0014754998220686748,0.1206725296261283,0.12800321912974819
same_distribution,D,success_rate,3,0.6791666666666667,0.054486236794258416,0.5438153510699554,0.814517982263378
same_distribution,D,collision_rate,3,0.32083333333333336,0.05448623679425844,0.18548201773662198,0.45618464893004473
same_distribution,D,static_collision_rate,3,0.23750000000000002,0.023199018178458437,0.17987044406529365,0.29512955593470636
same_distribution,D,dynamic_collision_rate,3,0.08333333333333333,0.04166666666666667,0.0,0.1868390713265518
same_distribution,D,successful_average_path_efficiency,3,0.9619355913848335,0.005793717388836413,0.9475431995274978,0.9763279832421693
same_distribution,D,average_navigation_time,3,22.802777777777777,1.5905808541861983,18.851555894167547,26.753999661388008
same_distribution,D,average_reward,3,719.5647536646385,61.54066986359449,566.6892548447577,872.4402524845193
same_distribution,D,average_min_static_clearance,3,4.208748951378954,0.12567324942736738,3.8965592931073028,4.520938609650606
same_distribution,D,average_min_dynamic_clearance,3,9.978666773173488,0.5068949729280364,8.719469854982234,11.237863691364742
same_distribution,D,mean_inference_ms,3,0.12281923836459573,0.0005254756258314094,0.12151388454581664,0.12412459218337481
challenge,C,success_rate,3,0.65,0.030046260628866582,0.5753609508721419,0.7246390491278581
challenge,C,collision_rate,3,0.35000000000000003,0.03004626062886659,0.2753609508721419,0.42463904912785816
challenge,C,static_collision_rate,3,0.19166666666666668,0.022047927592204933,0.13689657826701349,0.24643675506631987
challenge,C,dynamic_collision_rate,3,0.15833333333333333,0.008333333333333331,0.13763218573468963,0.17903448093197702
challenge,C,successful_average_path_efficiency,3,0.9549308078853755,0.0015040155162707677,0.951194626222219,0.9586669895485321
challenge,C,average_navigation_time,3,21.823333333333334,1.370805724139394,18.418063138396306,25.228603528270362
challenge,C,average_reward,3,674.0150581969343,48.30413874716762,554.0209254972766,794.009190896592
challenge,C,average_min_static_clearance,3,6.394216948886857,0.3244229085017451,5.588305767293749,7.200128130479966
challenge,C,average_min_dynamic_clearance,3,9.709662643360348,0.8347740629344392,7.635968912761311,11.783356373959386
challenge,C,mean_inference_ms,3,0.1250245334898677,0.0016054121964169388,0.12103646850970491,0.12901259847003047
challenge,D,success_rate,3,0.5972222222222222,0.07698003589195015,0.40599321200444427,0.7884512324400001
challenge,D,collision_rate,3,0.40277777777777773,0.07698003589195009,0.21154876755999996,0.5940067879955555
challenge,D,static_collision_rate,3,0.24444444444444446,0.07698003589195009,0.05321543422666669,0.43567345466222224
challenge,D,dynamic_collision_rate,3,0.15833333333333333,0.0,0.15833333333333333,0.15833333333333333
challenge,D,successful_average_path_efficiency,3,0.972498213667858,0.0034716907780026796,0.963874055682384,0.981122371653332
challenge,D,average_navigation_time,3,20.267222222222223,1.8446426433001812,15.684875867137107,24.849568577307338
challenge,D,average_reward,3,625.2148299744417,75.92199968090567,436.6141274090088,813.8155325398747
challenge,D,average_min_static_clearance,3,6.010370668194781,0.45437457044599694,4.881641662450032,7.139099673939531
challenge,D,average_min_dynamic_clearance,3,9.81196181062761,0.9311914213183964,7.498754083991258,12.125169537263961
challenge,D,mean_inference_ms,3,0.12675671323328921,0.00046421890703128474,0.12560352953978493,0.1279098969267935
