split,method,best_timesteps,total_scenarios,success_count,success_rate,collision_count,collision_rate,static_collision_count,static_collision_rate,dynamic_collision_count,dynamic_collision_rate,out_of_bounds_count,out_of_bounds_rate,timeout_count,timeout_rate,average_reward,average_steps,average_navigation_time,average_path_length,successful_average_path_length,successful_average_path_efficiency,average_final_goal_distance,average_min_static_clearance,average_min_dynamic_clearance,mean_inference_ms,p95_inference_ms,worst_static_clearance,worst_dynamic_clearance,dataset_hash,dataset_split,observation_stage,environment_stage,timing_note
same_distribution,C-seed1,180000.0,240,167,0.6958333333333333,73,0.30416666666666664,63,0.2625,10,0.041666666666666664,0,0.0,0,0.0,755.8620304202038,121.16666666666667,24.233333333333334,70.0,81.41497005988026,0.9491838272167659,14.225424790732328,4.128302835917231,11.000307215734702,0.12459662317654564,0.18600000475998968,-0.5397398883432425,-0.41395403381529894,1e7c00c916df9fed6f5ba10fddaae3790e782f9defa9c6d288ad7625e5694b55,test,C,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
same_distribution,C-seed2,200000.0,240,175,0.7291666666666666,65,0.2708333333333333,47,0.19583333333333333,18,0.075,0,0.0,0,0.0,781.4597708831958,123.43333333333334,24.68666666666667,71.36,81.23828571428572,0.950669875987001,12.586802800795715,4.502930357148658,9.78268507358991,0.12566688487959143,0.18940000154543668,-0.578400670675542,-0.44779478356972735,1e7c00c916df9fed6f5ba10fddaae3790e782f9defa9c6d288ad7625e5694b55,test,C,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
same_distribution,C-seed3,140000.0,240,159,0.6625,81,0.3375,71,0.29583333333333334,10,0.041666666666666664,0,0.0,0,0.0,683.0322629249488,110.4125,22.0825,63.54750000000001,81.37547169811322,0.9493235704599475,20.48070864550486,4.094269621161072,11.954929091343953,0.12275011507767761,0.17811000288929776,-0.5875806890118334,-0.7036416816903746,1e7c00c916df9fed6f5ba10fddaae3790e782f9defa9c6d288ad7625e5694b55,test,C,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
same_distribution,D-seed1,90000.0,240,172,0.7166666666666667,68,0.2833333333333333,58,0.24166666666666667,10,0.041666666666666664,0,0.0,0,0.0,773.8912149441887,121.9,24.38,70.44000000000001,80.80813953488374,0.9562913184486077,13.060377986002779,4.157150969659401,10.06705561860986,0.12221349471497368,0.1728999959595967,-0.5434295513160112,-0.6148266096785084,1e7c00c916df9fed6f5ba10fddaae3790e782f9defa9c6d288ad7625e5694b55,test,D,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
same_distribution,D-seed2,80000.0,240,148,0.6166666666666667,92,0.38333333333333336,62,0.25833333333333336,30,0.125,0,0.0,0,0.0,652.7312476175629,105.99583333333334,21.19916666666667,60.88433493390679,80.36648908201103,0.9616474548025943,21.75923951951915,4.117087302731341,10.43555425252475,0.1231526160339262,0.17110999324358986,-0.5305776760083312,-0.6591655392885709,1e7c00c916df9fed6f5ba10fddaae3790e782f9defa9c6d288ad7625e5694b55,test,D,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
same_distribution,D-seed3,150000.0,240,169,0.7041666666666667,71,0.29583333333333334,51,0.2125,20,0.08333333333333333,0,0.0,0,0.0,732.0717984321641,114.14583333333333,22.82916666666667,65.78750000000001,79.87278106508877,0.9678680009032986,16.693462748139993,4.352008581746119,9.433390448385857,0.12309160434488726,0.17309000395471208,-0.44675238375321413,-0.7129094207347202,1e7c00c916df9fed6f5ba10fddaae3790e782f9defa9c6d288ad7625e5694b55,test,D,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
same_distribution,A-seed1,200704.0,240,143,0.5958333333333333,97,0.4041666666666667,80,0.3333333333333333,17,0.07083333333333333,0,0.0,0,0.0,692.6341814174608,120.30833333333334,24.06166666666667,69.485,83.73356643356644,0.9239205795462266,17.196754759999045,4.673460692320416,11.686954307512549,0.12301514162770859,0.17800000205170363,-0.5899289437092161,-0.6463347080488719,1e7c00c916df9fed6f5ba10fddaae3790e782f9defa9c6d288ad7625e5694b55,test,A,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
same_distribution,B-seed1,120000.0,240,153,0.6375,87,0.3625,71,0.29583333333333334,16,0.06666666666666667,0,0.0,0,0.0,715.5153982794963,119.525,23.905000000000005,69.01500000000003,82.31176470588235,0.9392673669820139,16.329121056290887,4.135742808492191,11.387020758956613,0.12424001260456864,0.18420000196783803,-0.5983923002606168,-0.6804432911987508,1e7c00c916df9fed6f5ba10fddaae3790e782f9defa9c6d288ad7625e5694b55,test,B,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
same_distribution,round0-seed1,170000.0,240,154,0.6416666666666667,86,0.35833333333333334,60,0.25,26,0.10833333333333334,0,0.0,0,0.0,696.0254230283225,112.63333333333334,22.526666666666667,64.88000000000002,80.85584415584417,0.9570039316404485,18.25455010434535,4.5682364706683725,9.961041912419931,0.123760324813161,0.17764500735211158,-0.5404698255384375,-0.6171496024495093,1e7c00c916df9fed6f5ba10fddaae3790e782f9defa9c6d288ad7625e5694b55,test,legacy,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
same_distribution,DWA,,240,240,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,962.7966264753064,142.14583333333334,28.429166666666667,78.43169200824204,78.43169200824204,0.9868239512855435,2.9136465280496604,5.09676799307024,7.473481343866355,0.5984700981641338,0.7180000000516884,0.5001910998302765,0.5000780715999857,1e7c00c916df9fed6f5ba10fddaae3790e782f9defa9c6d288ad7625e5694b55,test,D,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
