scenario_type,scenario_count,success_count,success_rate,success_rate_wilson_95_low,success_rate_wilson_95_high,static_collision_count,dynamic_collision_count,average_path_length,successful_average_path_efficiency,average_navigation_time,average_min_static_clearance,average_min_dynamic_clearance
crossing_left,60,42,0.7,0.5749129205308552,0.8010183386123089,13,5,69.83,0.9621857138172513,24.176666666666666,4.8686856795902775,12.668233955992728
crossing_right,60,47,0.7833333333333333,0.6637997242680521,0.868769559518097,9,4,73.53,0.940646529614356,25.410000000000004,5.439407532178587,6.698470018361814
head_on,60,36,0.6,0.4736605349204075,0.7143050946511744,23,1,70.17000000000002,0.9558453707221131,24.290000000000003,2.912714642629808,9.789692100403588
overtaking,60,47,0.7833333333333333,0.6637997242680521,0.868769559518097,13,0,68.23,0.9670103522333019,23.64333333333333,3.407796024238932,11.111826399681314
