scenario_type,scenario_count,success_count,success_rate,success_rate_wilson_95_low,success_rate_wilson_95_high,static_collision_count,dynamic_collision_count,average_path_length,successful_average_path_efficiency,average_navigation_time,average_min_static_clearance,average_min_dynamic_clearance
crossing_left,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,1,16,41.36000000000001,0.9742655828423141,14.686666666666667,11.334236078012625,6.972461997264578
crossing_right,30,30,1.0,0.8864866068260312,0.9999999999999999,0,0,81.22000000000001,0.9675124917254353,27.973333333333336,6.299295504940366,9.873277460046863
head_on,30,8,0.26666666666666666,0.14182663319596317,0.4444796169518888,22,0,55.7,0.9611498018067329,19.466666666666672,2.3999644880685413,10.560997155463628
overtaking,30,18,0.6,0.42320360253322475,0.7540937188319815,10,2,56.48000000000001,0.962238289611395,19.72666666666667,4.276438383315314,12.786654413884463
