scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency
0,crossing_left,standard,time_separated,two_sides,True,success,none,956.7681299091968,137,27.400000000000002,79.50000000000003,75.985645182285,2.6152703345569592,6.826500699991546,1.8265006999915459,32.75557393104432,28.755573931044317,96,19.200000000000003,0.9557942790224525
1,crossing_right,standard,receding,clear,True,success,none,949.2750796293728,131,26.200000000000003,75.89999999999995,75.35534513149301,2.772837168555703,16.180475256377054,11.180475256377054,29.079126729415677,25.079126729415677,0,0.0,0.9928240465282353
2,crossing_left,standard,conflict,clear,True,success,none,1007.3189073121653,145,29.0,84.29999999999998,81.20546315285918,2.748572421642589,21.329713139507056,16.329713139507056,15.42435623309915,11.42435623309915,83,16.6,0.9632913778512361
3,head_on,standard,conflict,mixed,False,static_collision_2,static_collision_2,431.8085825739034,103,20.6,59.10000000000005,78.30310837256252,25.522761501864498,4.933022650603889,-0.06697734939611077,9.841632255485507,5.841632255485507,49,9.8,
4,head_on,standard,time_separated,blocking,True,success,none,964.9834101739158,141,28.200000000000003,81.9,77.69370270812804,2.7047343008635405,10.29224783442034,5.2922478344203405,4.886958617806966,0.8869586178069664,68,13.600000000000001,0.9486410587073021
5,overtaking,standard,conflict,clear,True,success,none,947.6095118217668,137,27.400000000000002,79.50000000000007,74.98286735704959,2.536916174872898,27.248971558172844,22.248971558172844,9.370387482750914,5.370387482750914,57,11.4,0.943180721472321
6,head_on,standard,time_separated,clear,True,success,none,929.8864603070379,132,26.400000000000002,76.49999999999993,73.28976866427531,2.6411226335714604,22.590926615301775,17.590926615301775,11.907417743347482,7.907417743347482,50,10.0,0.9580361916898743
7,overtaking,standard,conflict,mixed,True,success,none,1010.8767392102463,146,29.200000000000003,84.9,81.657079997184,2.825195052313265,6.768634550569706,1.7686345505697059,9.582757398047596,5.582757398047596,82,16.400000000000002,0.9618030623932154
8,head_on,standard,time_separated,clear,False,dynamic_collision,dynamic_collision,308.9500785839098,91,18.2,51.900000000000006,75.16187584847555,31.370606363868838,28.852589845772574,23.852589845772574,3.456202197036199,-0.5437978029638009,91,18.2,
9,head_on,standard,conflict,clear,True,success,none,942.6665885019481,136,27.200000000000003,78.89999999999999,74.48005201486072,2.5333931646658634,7.227788018186576,2.227788018186576,10.99618862652661,6.99618862652661,68,13.600000000000001,0.9439803804164858
10,head_on,standard,receding,clear,True,success,none,991.3737544779893,139,27.8,80.70000000000003,79.41314510203661,2.5807696542376397,17.681920109314817,12.681920109314817,21.22852298660787,17.22852298660787,0,0.0,0.98405384265225
11,head_on,standard,time_separated,blocking,False,static_collision_2,static_collision_2,440.8553266536164,102,20.400000000000002,58.500000000000036,80.26332908495132,26.567470587954805,4.449418623666321,-0.5505813763336791,28.41996775479109,24.41996775479109,53,10.600000000000001,
12,crossing_right,standard,conflict,clear,True,success,none,956.827703283815,141,28.200000000000003,81.90000000000002,76.06197866606688,2.4322019556864825,5.1648282973306285,0.16482829733062854,8.948242465780654,4.948242465780654,64,12.8,0.9287176882303646
13,crossing_right,standard,conflict,clear,True,success,none,963.587136453273,142,28.400000000000002,82.50000000000001,76.86710203155215,2.6305871052291927,26.273261669748283,21.273261669748283,7.2143832370572,3.2143832370572003,74,14.8,0.9317224488672986
14,head_on,standard,conflict,clear,True,success,none,986.5464891474954,145,29.0,84.30000000000003,79.26679657066896,2.8871476559193616,23.16077692336447,18.16077692336447,13.027177999981934,9.027177999981934,97,19.400000000000002,0.9402941467457762
15,crossing_left,standard,conflict,mixed,True,success,none,976.5697585796319,142,28.400000000000002,82.50000000000001,78.0083638825987,2.6413880246354746,8.008714716539515,3.008714716539515,14.242151650498625,10.242151650498625,89,17.8,0.9455559258496811
16,crossing_right,standard,conflict,clear,True,success,none,902.3858814461062,131,26.200000000000003,75.89999999999999,71.81654757115683,2.511996463636691,7.241350632741339,2.241350632741339,4.0069690921132395,0.006969092113239483,75,15.0,0.9461995727425143
17,crossing_right,standard,receding,clear,True,success,none,955.1467896303062,132,26.400000000000002,76.50000000000001,75.9820325713535,2.8073536083228374,17.305921445999257,12.305921445999257,23.30657401678188,19.30657401678188,0,0.0,0.9932291839392613
18,crossing_left,standard,receding,blocking,True,success,none,959.7591012653402,135,27.0,78.29999999999997,76.42982240894155,2.6134345798739926,5.7566686181380895,0.7566686181380895,21.72110655017523,17.72110655017523,0,0.0,0.9761152287221146
19,crossing_left,standard,conflict,clear,True,success,none,980.2238763673646,141,28.200000000000003,81.89999999999998,78.23792801929575,2.5105403825592663,14.361233514521787,9.361233514521787,12.303483527462188,8.303483527462188,66,13.200000000000001,0.9552860564016578
20,overtaking,standard,time_separated,two_sides,True,success,none,926.5792483490679,130,26.0,75.30000000000001,72.99387233303464,2.685947498127852,7.0463202437131836,2.0463202437131836,12.046225031790517,8.046225031790517,43,8.6,0.969374134568853
21,crossing_left,standard,conflict,clear,True,success,none,957.2324723135607,136,27.200000000000003,78.90000000000003,75.95995913083297,2.556711899476898,8.840708370278268,3.840708370278268,16.22015228118699,12.22015228118699,97,19.400000000000002,0.962737124598643
22,crossing_right,standard,conflict,two_sides,False,static_collision_2,static_collision_2,368.7033796505899,95,19.0,54.30000000000002,78.07836778356672,31.315014098408543,4.443684509113288,-0.5563154908867123,6.736524571366676,2.736524571366676,67,13.4,
23,crossing_right,standard,time_separated,blocking,True,success,none,965.8981818782752,142,28.400000000000002,82.50000000000001,76.91828699423209,2.6184688064045143,10.737062071289508,5.7370620712895075,25.322963775308114,21.322963775308114,82,16.400000000000002,0.9323428726573585
24,head_on,standard,conflict,mixed,True,success,none,978.9290456254679,141,28.200000000000003,81.89999999999999,78.15098895217052,2.4753279059707154,6.219793615585134,1.219793615585134,10.13139027915896,6.1313902791589605,60,12.0,0.9542245293305315
25,crossing_left,standard,receding,blocking,True,success,none,985.2063340161369,139,27.8,80.69999999999997,79.16191576633148,2.946282364717787,7.217378825880293,2.217378825880293,25.791841730993397,21.791841730993397,0,0.0,0.9809407158157559
26,crossing_right,standard,time_separated,blocking,True,success,none,1009.2271950686337,147,29.400000000000002,85.5,81.47595945554822,2.8182399486848033,12.32921271060704,7.32921271060704,22.7633760287767,18.7633760287767,46,9.200000000000001,0.9529351983105055
27,head_on,standard,conflict,clear,True,success,none,1010.5761003862544,148,29.6,86.10000000000007,81.65532315782461,2.857713119199105,27.52386456173068,22.52386456173068,11.015170813995262,7.015170813995262,65,13.0,0.9483777370246753
28,overtaking,standard,time_separated,blocking,True,success,none,943.6965488488459,136,27.200000000000003,78.89999999999996,76.23000489340889,2.896463325130701,6.220283696791832,1.2202836967918316,5.398438742996565,1.3984387429965652,44,8.8,0.9661597578378824
29,overtaking,standard,conflict,mixed,True,success,none,1012.1550828373071,146,29.200000000000003,84.89999999999995,82.12803678734191,2.9143581451983684,5.2415132472761785,0.2415132472761785,10.04625675505425,6.04625675505425,71,14.200000000000001,0.9673502566235802
30,head_on,standard,receding,clear,True,success,none,968.409803146526,135,27.0,78.30000000000005,77.17336955763771,2.6573892429850705,20.285513314583707,15.285513314583707,20.96788294420907,16.96788294420907,0,0.0,0.9856113608893698
31,overtaking,standard,conflict,clear,True,success,none,939.7824522945996,134,26.8,77.69999999999996,74.55468332297319,2.9064380935132195,26.169222781676066,21.169222781676066,10.479705513178313,6.479705513178313,55,11.0,0.9595197338863993
32,crossing_right,standard,time_separated,blocking,True,success,none,940.1689335224135,137,27.400000000000002,79.50000000000006,74.41859050488361,2.716697152642258,11.556941470426093,6.556941470426093,23.38385498584086,19.38385498584086,63,12.600000000000001,0.9360828994324976
33,overtaking,standard,conflict,clear,True,success,none,921.1051267211052,130,26.0,75.3000000000001,72.80247995127235,2.7331274242363923,14.577849415534804,9.577849415534804,7.118080375236662,3.118080375236662,42,8.4,0.9668324030713447
34,overtaking,standard,receding,blocking,False,static_collision_1,static_collision_1,-26.151958645814204,21,4.2,9.9,81.18904694294547,74.59869267343207,4.555921000065574,-0.4440789999344261,28.532312766519745,24.532312766519745,0,0.0,
35,crossing_left,standard,conflict,mixed,True,success,none,941.7796488317597,136,27.200000000000003,78.90000000000002,74.66610481746704,2.808139934291076,10.366373641317908,5.366373641317908,13.547091194952586,9.547091194952586,81,16.2,0.9463384640997088
36,crossing_left,standard,conflict,mixed,True,success,none,963.1673152311536,139,27.8,80.70000000000003,76.48707790023042,2.4753463771150117,10.704922075839498,5.704922075839498,16.466491212826586,12.466491212826586,92,18.400000000000002,0.9477952651825327
37,crossing_left,standard,conflict,two_sides,False,static_collision_2,static_collision_2,407.9327879124255,98,19.6,56.099999999999994,79.13590287076725,28.725240059115922,4.822989258875343,-0.17701074112465687,14.246817923152081,10.246817923152081,77,15.4,
38,crossing_right,standard,receding,blocking,True,success,none,964.6034689507752,135,27.0,78.29999999999998,77.05521487184791,2.6107889679010663,5.033793666332999,0.03379366633299874,24.285036759475613,20.285036759475613,0,0.0,0.9841023610708547
