scenario_type,scenario_count,success_count,success_rate,success_rate_wilson_95_low,success_rate_wilson_95_high,static_collision_count,dynamic_collision_count,average_path_length,successful_average_path_efficiency,average_navigation_time,average_min_static_clearance,average_min_dynamic_clearance
crossing_left,12,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,2,0,78.14999999999999,0.9365487966211357,26.950000000000003,3.9979278012913135,14.816200422017944
crossing_right,16,11,0.6875,0.44404355834740666,0.8583535614521796,4,1,69.0375,0.9403395863812747,23.9125,6.416472805802265,13.123360128784237
head_on,19,10,0.5263157894736842,0.3170780924511316,0.7267019483882042,7,2,64.43684210526317,0.9397653876861666,22.378947368421056,7.9333334270664775,11.707542855990896
overtaking,13,8,0.6153846153846154,0.355228915126657,0.8229029220223743,3,2,64.54615384615386,0.9486537928661178,22.415384615384617,5.218915271603686,6.565097966031545
