scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,risk_return,training_return,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed,risk_onset_step,braking_delay_seconds,risk_no_braking_response
0,head_on,True,success,False,143,83.09999999999998,28.6,0.9158575897562807,20.454429024201783,2.675236752229079,957.6108269885308,-3.5180676081061533,954.0927593804248,1.0,1.0,,,,False
1,head_on,True,success,False,136,78.89999999999999,27.200000000000003,0.9830061819889154,13.034928313355383,18.300011669432756,974.3558440374545,0.0,974.3558440374545,1.0,1.0,,,,False
2,head_on,False,static_collision_1,True,57,31.5,11.4,,-0.018526210738952997,29.673456734127953,173.01149006325508,-49.28155348525718,123.72993657799802,1.0,1.0,3.0,32.0,,True
3,head_on,True,success,False,143,83.09999999999998,28.6,0.9415404426905343,4.44226717857077,25.0942705798405,975.2751078645388,0.0,975.2751078645388,1.0,1.0,,,,False
4,head_on,False,static_collision_2,True,93,53.099999999999994,18.6,,-0.41307815418575533,19.81710878406946,399.4477039487547,-43.05579860157839,356.3919053471762,1.0,1.0,3.0,71.0,,True
5,head_on,True,success,False,139,80.69999999999996,27.8,0.9510062252455881,2.862405494746926,6.957810857511641,965.7918287802074,0.0,965.7918287802074,1.0,1.0,,,,False
6,head_on,True,success,False,141,81.9,28.200000000000003,0.9433616808492185,8.57849025860086,7.612621835989799,970.8649436628172,0.0,970.8649436628172,1.0,1.0,,,,False
7,head_on,True,success,False,143,83.10000000000004,28.6,0.9634472803801671,4.829051635657557,2.227876187405049,990.3862023271291,0.0,990.3862023271291,1.0,1.0,,,,False
8,head_on,False,static_collision_2,True,92,52.500000000000014,18.400000000000002,,-0.08074650217999046,23.380366112103985,390.8917291348783,-42.26852566747435,348.6232034674039,1.0,1.0,3.0,71.0,,True
9,head_on,True,success,False,138,80.10000000000004,27.6,0.971439780417341,7.4190908461030585,3.2953861047322803,974.7172286482225,0.0,974.7172286482225,1.0,1.0,,,,False
10,head_on,True,success,False,143,83.10000000000002,28.6,0.9620472769278785,2.1333962484962026,21.383243925450774,993.061332494494,0.0,993.061332494494,1.0,1.0,,,,False
11,head_on,False,static_collision_2,True,105,60.29999999999999,21.0,,-0.3678598976909244,5.676555320386555,445.44891884050344,-43.92587530689228,401.52304353361126,1.0,1.0,3.0,83.0,,True
12,head_on,False,static_collision_1,True,54,29.700000000000014,10.8,,-0.2376155948700962,12.495209661238103,156.48755305109586,-48.42696188754267,108.06059116355326,1.0,1.0,3.0,30.0,,True
