scenario_type,scenario_count,success_count,success_rate,success_rate_wilson_95_low,success_rate_wilson_95_high,static_collision_count,dynamic_collision_count,average_path_length,successful_average_path_efficiency,average_navigation_time,average_min_static_clearance,average_min_dynamic_clearance
crossing_left,30,9,0.3,0.16664748268243793,0.47875787458714947,4,17,34.40744846343994,0.9769460799385015,12.400000000000002,10.008590511339014,7.163183734937488
crossing_right,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,8,0,64.37995116055012,0.986944718230212,22.373333333333335,5.557464934251573,9.318011832925029
head_on,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,11,0,68.28,0.9734582660461384,23.660000000000004,3.0396951250869324,9.85480005169693
overtaking,30,11,0.36666666666666664,0.21873920806100708,0.5448643634520511,17,2,40.39602343201637,0.9510755995824173,14.386666666666667,3.367805126068549,16.52864876781189
