scenario_type,scenario_count,success_count,success_rate,success_rate_wilson_95_low,success_rate_wilson_95_high,static_collision_count,dynamic_collision_count,average_path_length,successful_average_path_efficiency,average_navigation_time,average_min_static_clearance,average_min_dynamic_clearance
crossing_left,12,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,0,4,67.75000000000001,0.9569792481483077,23.483333333333334,4.0121478516041105,6.489037120827791
crossing_right,16,10,0.625,0.38641040545502714,0.8151876744113636,1,5,63.52500000000002,0.9584187966284446,22.075000000000003,6.792724089672555,11.312844829478733
head_on,19,12,0.631578947368421,0.41039533164803066,0.8085048725486492,7,0,69.2368421052632,0.962652342395348,23.978947368421053,4.611728257407339,11.278000014412253
overtaking,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574435,1,0,75.06923076923077,0.964572129078479,25.923076923076923,5.427836751945415,8.621461531389283
