scenario_type,scenario_count,success_count,success_rate,success_rate_wilson_95_low,success_rate_wilson_95_high,static_collision_count,dynamic_collision_count,average_path_length,successful_average_path_efficiency,average_navigation_time,average_min_static_clearance,average_min_dynamic_clearance
crossing_left,30,26,0.8666666666666667,0.703186733179637,0.9469034451594526,4,0,78.76000000000002,0.9506204273168041,27.15333333333333,6.8836543385002775,11.822604788504373
crossing_right,30,10,0.3333333333333333,0.19230498083676134,0.5121994835545616,3,17,39.3,0.9420773460572859,13.999999999999998,12.146152372022907,5.081069499282043
head_on,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,8,0,73.62000000000002,0.9582272077839243,25.439999999999998,3.1811804841307683,7.927220409022985
overtaking,30,24,0.8,0.6269430358685175,0.9049489282271013,5,1,73.06,0.9560082272867453,25.253333333333334,4.613097615791381,11.31894337249347
