#{"t_start": 1788917245.2614894, "env_id": "None"}
r,l,t,episode_base_return,episode_risk_return,episode_training_return
-223.39967,233,0.997424,-223.3996699361967,0.0,-223.3996699361967
-247.577343,368,1.198697,-247.577343393638,0.0,-247.577343393638
44.556288,298,1.361706,44.55628764897388,0.0,44.55628764897388
-223.024009,130,1.431735,-223.02400858609508,0.0,-223.02400858609508
-160.920892,235,1.56156,-160.9208924868196,0.0,-160.9208924868196
-120.156219,221,1.681722,-120.15621859477673,0.0,-120.15621859477673
-275.584043,331,1.861897,-275.58404250550734,0.0,-275.58404250550734
90.632576,77,1.906759,90.63257569758689,0.0,90.63257569758689
408.96688,600,2.784506,408.96688036797707,0.0,408.96688036797707
240.383888,141,2.863049,240.38388845986694,0.0,240.38388845986694
76.912667,103,2.920105,76.91266692426638,0.0,76.91266692426638
78.242233,74,2.962473,78.24223313316628,0.0,78.24223313316628
377.972368,188,3.06466,377.9723676605168,0.0,377.9723676605168
160.222006,226,3.187784,160.22200636460926,0.0,160.22200636460926
346.73119,549,3.486353,346.73119028947167,0.0,346.73119028947167
111.925839,76,3.530202,111.92583869071058,0.0,111.92583869071058
951.650954,330,4.260031,951.6509542236802,0.0,951.6509542236802
95.990411,89,4.307155,95.99041108417323,0.0,95.99041108417323
139.641773,118,4.370614,139.64177298495915,0.0,139.64177298495915
595.264311,285,4.526058,595.2643112237753,0.0,595.2643112237753
343.898214,499,4.79731,343.89821358226095,0.0,343.89821358226095
640.991196,600,5.119014,640.9911958369398,0.0,640.9911958369398
278.896938,234,5.248379,278.89693821561406,0.0,278.89693821561406
122.29903,74,5.289546,122.29902999964648,0.0,122.29902999964648
102.160611,104,5.89498,102.16061067347326,0.0,102.16061067347326
285.25325,145,5.976136,285.2532500870762,0.0,285.2532500870762
627.962639,600,6.301334,627.9626388803883,0.0,627.9626388803883
103.485382,71,6.339714,103.48538154089178,0.0,103.48538154089178
978.789654,321,6.524939,978.7896539646766,0.0,978.7896539646766
65.547417,76,6.566196,65.54741745041505,0.0,65.54741745041505
398.089653,153,6.651118,398.0896533832629,0.0,398.0896533832629
653.702211,600,6.996637,653.7022108956726,0.0,653.7022108956726
404.110678,171,7.640656,404.11067764577604,0.0,404.11067764577604
340.617982,185,7.742792,340.61798199480154,0.0,340.61798199480154
934.380767,442,7.985451,934.3807669453224,0.0,934.3807669453224
956.625621,306,8.153053,956.6256214272502,0.0,956.6256214272502
401.594684,172,8.249457,401.59468396643723,0.0,401.59468396643723
923.607036,587,12.642407,923.6070360423794,0.0,923.6070360423794
