scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,risk_return,training_return,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed,risk_onset_step,braking_delay_seconds,risk_no_braking_response
0,head_on,True,success,False,143,83.10000000000007,28.6,0.9739798478876154,0.9770071169455035,2.195214489344571,1000.1382199662379,-26.494913445271386,973.6433065209663,1.0,1.0,3.0,89.0,,True
1,head_on,True,success,False,135,78.30000000000008,27.0,0.966798119982399,1.0328968804947536,4.353128791827347,954.8203835326772,-26.446246582891614,928.3741369497857,1.0,1.0,,,,False
2,head_on,False,static_collision_2,True,102,58.50000000000002,20.400000000000002,,-0.04437457537164757,21.86863335921804,448.0714610681413,-45.120855016307594,402.9506060518336,1.0,1.0,3.0,79.0,,True
3,head_on,True,success,False,135,78.30000000000007,27.0,0.9725716064052563,1.0527583714939883,4.151597875348953,956.2769573732201,-26.386448240682526,929.8905091325375,1.0,1.0,,,,False
4,head_on,True,success,False,137,79.50000000000006,27.400000000000002,0.9900131136965814,8.888748475015303,23.6387684088237,984.8229987162899,0.0,984.8229987162899,1.0,1.0,,,,False
5,head_on,False,static_collision_2,True,98,56.10000000000004,19.6,,-0.04288296171545447,1.8723578929400064,415.3542168162993,-43.267285396508754,372.08693141979063,1.0,1.0,3.0,77.0,,True
6,head_on,True,success,False,137,79.50000000000013,27.400000000000002,0.9878431023166978,2.7038761357722194,23.1907952186179,983.3662564078795,0.0,983.3662564078795,1.0,1.0,,,,False
7,head_on,True,success,False,136,78.90000000000009,27.200000000000003,0.964959303754029,2.072714047782343,3.6619421756619257,956.1329964961845,0.0,956.1329964961845,1.0,1.0,,,,False
8,head_on,False,static_collision_2,True,93,53.100000000000016,18.6,,-0.20957045931618,17.004151004773263,400.4955117632662,-45.06778239128885,355.42772937197736,1.0,1.0,3.0,70.0,,True
9,head_on,True,success,False,146,84.89999999999996,29.200000000000003,0.9672709432485244,2.830410633873706,2.5597848207285185,1015.9034804738934,0.0,1015.9034804738934,1.0,1.0,,,,False
