split,arm,metric,mean,sample_sd,seed_t_low,seed_t_high
same_distribution,base,success_rate,0.7236111111111111,0.06539587426107529,0.5611587536606074,0.8860634685616148
same_distribution,base,collision_rate,0.27638888888888885,0.06539587426107528,0.11393653143838522,0.4388412463393925
same_distribution,base,static_collision_rate,0.18472222222222223,0.04570689631084537,0.07117999740541668,0.29826444703902777
same_distribution,base,dynamic_collision_rate,0.09166666666666667,0.037500000000000006,0.0,0.1848218308605633
same_distribution,base,timeout_rate,0.0,0.0,0.0,0.0
same_distribution,base,successful_path_efficiency,0.9635813581710542,0.004496287091947357,0.9524119618427007,0.9747507544994076
same_distribution,base,successful_navigation_time,27.826694807565236,0.10720131744548637,27.560391972140266,28.092997642990206
same_distribution,base,mean_base_reward,751.1491041058271,65.65598427385719,588.0505975633455,914.2476106483086
same_distribution,base,mean_risk_penalty,0.0,0.0,0.0,0.0
same_distribution,base,full_speed_fraction_after_2s,0.9945322192548197,0.00947047405529894,0.9710062575050754,1.0
same_distribution,base,clipped_mean_fraction,0.9938925760900692,0.010578368515361173,0.9676144519313488,1.0
same_distribution,instant,success_rate,0.7777777777777778,0.012729376930432846,0.7461562524966986,0.809399303058857
same_distribution,instant,collision_rate,0.2222222222222222,0.012729376930432886,0.19060069694114287,0.2538437475033015
same_distribution,instant,static_collision_rate,0.14722222222222223,0.01577474540500075,0.10803558226702858,0.18640886217741587
same_distribution,instant,dynamic_collision_rate,0.075,0.007216878364870321,0.05707228029208333,0.09292771970791666
same_distribution,instant,timeout_rate,0.0,0.0,0.0,0.0
same_distribution,instant,successful_path_efficiency,0.9583477395606765,0.008073246835072299,0.9382926826407028,0.9784027964806503
same_distribution,instant,successful_navigation_time,27.952621654650887,0.21909584487102624,27.408357403899927,28.496885905401847
same_distribution,instant,mean_base_reward,798.5506546363553,10.848048780718695,771.6026075603219,825.4987017123887
same_distribution,instant,mean_risk_penalty,-3.136648990589635,0.5797074919540672,-4.5767222331873185,-1.6965757479919512
same_distribution,instant,full_speed_fraction_after_2s,1.0,0.0,1.0,1.0
same_distribution,instant,clipped_mean_fraction,1.0,0.0,1.0,1.0
same_distribution,predictive,success_rate,0.7402777777777777,0.03640372895022548,0.6498459018410214,0.830709653714534
same_distribution,predictive,collision_rate,0.25972222222222224,0.03640372895022543,0.16929034628546602,0.35015409815897847
same_distribution,predictive,static_collision_rate,0.1763888888888889,0.015774745405000762,0.13720224893369526,0.21557552884408254
same_distribution,predictive,dynamic_collision_rate,0.08333333333333333,0.025344843876242584,0.020373250859731906,0.14629341580693475
same_distribution,predictive,timeout_rate,0.0,0.0,0.0,0.0
same_distribution,predictive,successful_path_efficiency,0.9588372388685632,0.010755372509643351,0.9321194124125006,0.9855550653246258
same_distribution,predictive,successful_navigation_time,27.927474617474616,0.28383799272749194,27.222381955688068,28.632567279261163
same_distribution,predictive,mean_base_reward,768.5081376735334,35.10514838268936,681.3021146964526,855.7141606506142
same_distribution,predictive,mean_risk_penalty,-17.611798175090353,0.793813554915471,-19.58374036302346,-15.639855987157247
same_distribution,predictive,full_speed_fraction_after_2s,0.9997691993464052,0.00039975845844626923,0.9987761442841528,1.0
same_distribution,predictive,clipped_mean_fraction,0.9997472095383054,0.0004378459233237966,0.9986595399682026,1.0
challenge,base,success_rate,0.5805555555555556,0.06254627916220945,0.42518198475361113,0.7359291263575001
challenge,base,collision_rate,0.41944444444444445,0.06254627916220945,0.26407087364250004,0.5748180152463889
challenge,base,static_collision_rate,0.27499999999999997,0.07264831572567788,0.09453157920438487,0.45546842079561506
challenge,base,dynamic_collision_rate,0.14444444444444446,0.02678791878053598,0.07789956518008188,0.21098932370880702
challenge,base,timeout_rate,0.0,0.0,0.0,0.0
challenge,base,successful_path_efficiency,0.9723917547558648,0.0020657713287152834,0.967260094294171,0.9775234152175586
challenge,base,successful_navigation_time,27.45349811478844,0.06565519575537189,27.290401567034465,27.61659466254242
challenge,base,mean_base_reward,619.4301919875566,50.13258167613598,494.8939552541064,743.9664287210067
challenge,base,mean_risk_penalty,0.0,0.0,0.0,0.0
challenge,base,full_speed_fraction_after_2s,0.9976163629211765,0.004128580527327294,0.9873604003368859,1.0
challenge,base,clipped_mean_fraction,0.9971140877415706,0.004998546657785657,0.9846970094845873,1.0
challenge,instant,success_rate,0.638888888888889,0.06309898162000305,0.48214232906811433,0.7956354487096635
challenge,instant,collision_rate,0.3611111111111111,0.06309898162000306,0.20436455129033643,0.5178576709318858
challenge,instant,static_collision_rate,0.19444444444444442,0.056723827379617064,0.0535346456909917,0.33535424319789714
challenge,instant,dynamic_collision_rate,0.16666666666666666,0.022047927592204915,0.11189657826701352,0.2214367550663198
challenge,instant,timeout_rate,0.0,0.0,0.0,0.0
challenge,instant,successful_path_efficiency,0.9651704442534076,0.008089955942167201,0.9450738796103683,0.9852670088964469
challenge,instant,successful_navigation_time,27.63251554280249,0.24726838141258636,27.01826683159053,28.24676425401445
challenge,instant,mean_base_reward,649.1848486449354,58.17696516620733,504.6652555153181,793.7044417745527
challenge,instant,mean_risk_penalty,-3.3752272611962835,0.5443209624799937,-4.727395491436381,-2.023059030956186
challenge,instant,full_speed_fraction_after_2s,1.0,0.0,1.0,1.0
challenge,instant,clipped_mean_fraction,1.0,0.0,1.0,1.0
challenge,predictive,success_rate,0.5888888888888889,0.0994196120454071,0.3419168813106649,0.8358608964671129
challenge,predictive,collision_rate,0.41111111111111115,0.09941961204540711,0.1641391035328871,0.6580831186893352
challenge,predictive,static_collision_rate,0.2388888888888889,0.10285282545318677,0.0,0.49438947136616374
challenge,predictive,dynamic_collision_rate,0.1722222222222222,0.00481125224324688,0.1602704090836111,0.1841740353608333
challenge,predictive,timeout_rate,0.0,0.0,0.0,0.0
challenge,predictive,successful_path_efficiency,0.9676439657499931,0.009491462219686086,0.9440658665095925,0.9912220649903938
challenge,predictive,successful_navigation_time,27.610869734077465,0.2603055890902465,26.964234803616375,28.257504664538555
challenge,predictive,mean_base_reward,609.0558750002828,75.01621542199307,422.7052652712032,795.4064847293623
challenge,predictive,mean_risk_penalty,-22.35728667486303,4.206792671516176,-32.807538996056905,-11.907034353669152
challenge,predictive,full_speed_fraction_after_2s,1.0,0.0,1.0,1.0
challenge,predictive,clipped_mean_fraction,1.0,0.0,1.0,1.0
