n,success_count,success_rate,mean_base_reward,mean_training_reward,mean_risk_penalty,mean_min_static_clearance,mean_min_dynamic_clearance,worst_static_clearance,worst_dynamic_clearance,successful_path_efficiency,successful_navigation_time,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed_episode_average,risk_exposed_episodes,risk_no_response_episodes,risk_no_response_fraction_exposed,braking_delay_responders_only,static_collision_count,static_collision_rate,dynamic_collision_count,dynamic_collision_rate,timeout_count,timeout_rate,out_of_bounds_count,out_of_bounds_rate,collision_count,collision_rate,dataset_hash,method,split,model_sha256,trajectory_audit
240,179,0.7458333333333333,798.3748926883585,798.3748926883585,0.0,5.391849803175639,10.177422878063332,-0.592739347567103,-0.43277001837939455,0.9593741256632777,27.89608938547486,1.0,1.0,2.93667141286372,84,84,1.0,,48,0.2,13,0.05416666666666667,0,0.0,0,0.0,61,0.25416666666666665,314778f239da5c345375269fdf9bae3850e769de9b1646f43744d3e12496ad39,base-seed1,same_distribution,eed14e8a8b4049f3e6f061e6689f890b45e3b92007fd70de498e1030028fb343,passed
240,156,0.65,676.1747267699926,676.1747267699926,0.0,4.585837246176762,11.035129353134307,-0.5799192779720057,-0.6439623983453724,0.9630503978778776,27.880769230769236,0.9835966577644594,0.9816777282702075,2.9564149121165277,119,119,1.0,,53,0.22083333333333333,31,0.12916666666666668,0,0.0,0,0.0,84,0.35,314778f239da5c345375269fdf9bae3850e769de9b1646f43744d3e12496ad39,base-seed2,same_distribution,e6eb712bb93c030a7b2497044c5f97d3677b2abe41f131b3df95a024c9dd86e0,passed
240,186,0.775,778.8976928591298,778.8976928591298,0.0,4.710589152932859,9.886751750760379,-0.43714970536985476,-0.6220426789823983,0.9683195509720073,27.703225806451613,1.0,1.0,2.9582668665013943,106,106,1.0,,32,0.13333333333333333,22,0.09166666666666666,0,0.0,0,0.0,54,0.225,314778f239da5c345375269fdf9bae3850e769de9b1646f43744d3e12496ad39,base-seed3,same_distribution,d3012baac75ccf9d4678f9606f22a66a1a492c3d778573d6ce3a40e330c395b1,passed
240,190,0.7916666666666666,810.2742416812858,807.768585515314,-2.5056561659718652,6.494149223320673,9.937834078762602,-0.4788374442320027,-0.6243899159316824,0.9498434071768282,28.182105263157897,1.0,1.0,2.9498766051788925,81,81,1.0,,31,0.12916666666666668,19,0.07916666666666666,0,0.0,0,0.0,50,0.20833333333333334,314778f239da5c345375269fdf9bae3850e769de9b1646f43744d3e12496ad39,instant-seed1,same_distribution,a7a84f53f79ad93ab4833555f500962eba6687d2a023c0c58a54e6ad26ef3773,passed
240,184,0.7666666666666667,788.8680899288013,785.609456328355,-3.2586336004462124,5.252451264285903,10.022786258586253,-0.4567953215977809,-0.5976726309189866,0.9659066507516559,27.745652173913044,1.0,1.0,2.959194325530191,92,92,1.0,,37,0.15416666666666667,19,0.07916666666666666,0,0.0,0,0.0,56,0.23333333333333334,314778f239da5c345375269fdf9bae3850e769de9b1646f43744d3e12496ad39,instant-seed2,same_distribution,8fd8252c95466b4b1de1d467313670b725aaf48a8b305ae4980bc4db275c7042,passed
240,186,0.775,796.5096322989785,792.8639750936277,-3.6456572053508283,4.614870728111284,10.288928825341385,-0.46610604563340274,-0.6177408107111875,0.9592931607535453,27.93010752688172,1.0,1.0,2.9616599245120763,102,102,1.0,,38,0.15833333333333333,16,0.06666666666666667,0,0.0,0,0.0,54,0.225,314778f239da5c345375269fdf9bae3850e769de9b1646f43744d3e12496ad39,instant-seed3,same_distribution,7e01f9d9d3e4e94731f1e32ea429c38e1804be0903ec0a517cd51220fe9e97d7,passed
240,185,0.7708333333333334,796.8049766279415,780.0536601586781,-16.75131646926346,5.264776554286607,9.379121455049479,-0.4778944892223276,-0.3790130343968636,0.9700258852480411,27.627027027027026,1.0,1.0,2.9548533511402675,94,94,1.0,,38,0.15833333333333333,17,0.07083333333333333,0,0.0,0,0.0,55,0.22916666666666666,314778f239da5c345375269fdf9bae3850e769de9b1646f43744d3e12496ad39,predictive-seed1,same_distribution,4c0fcd56494770cf03816125b8e8e8a477172aefdd66054b029e93d4ed7d30e6,passed
240,168,0.7,729.2233278058644,710.9077592814247,-18.315568524439684,5.604683862955961,9.800109584177935,-0.5497880964154707,-0.6542313769657904,0.9579107505053193,27.964285714285715,1.0,1.0,2.955476799263489,104,104,1.0,,45,0.1875,27,0.1125,0,0.0,0,0.0,72,0.3,314778f239da5c345375269fdf9bae3850e769de9b1646f43744d3e12496ad39,predictive-seed2,same_distribution,cc62a783b125e16efa0c1bcb4010d3471b881d0e9ee32e98d2fa25831a30750b,passed
240,180,0.75,779.4961085867941,761.7275990552263,-17.76850953156792,5.672506697616075,10.996222623798742,-0.5424494748988442,-0.7599088268940171,0.9485750808523293,28.19111111111111,0.9993075980392156,0.9992416286149163,2.9467194048318754,98,98,1.0,,44,0.18333333333333332,16,0.06666666666666667,0,0.0,0,0.0,60,0.25,314778f239da5c345375269fdf9bae3850e769de9b1646f43744d3e12496ad39,predictive-seed3,same_distribution,46b47e4970ae9eb2d7c8f9c09344cb0e284c763e14d11176e57a2432219640f5,passed
240,239,0.9958333333333333,963.0628527877112,963.0628527877112,0.0,5.645508304632462,8.12583858093634,0.5000072429739513,0.5005228907669963,0.9876018878223671,28.552301255230127,0.869533601554158,,2.96269040338923,157,1,0.006369426751592357,20.189743589743593,0,0.0,0,0.0,1,0.004166666666666667,0,0.0,0,0.0,314778f239da5c345375269fdf9bae3850e769de9b1646f43744d3e12496ad39,DWA,same_distribution,,passed
