split,method,type,n,success_count,success_rate,success_wilson_95,mean_base_reward,mean_training_reward,mean_risk_penalty,mean_min_static_clearance,mean_min_dynamic_clearance,worst_static_clearance,worst_dynamic_clearance,successful_path_efficiency,successful_navigation_time,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed_episode_average,risk_exposed_episodes,risk_no_response_episodes,risk_no_response_fraction_exposed,braking_delay_responders_only,static_collision_count,static_collision_rate,dynamic_collision_count,dynamic_collision_rate,timeout_count,timeout_rate,out_of_bounds_count,out_of_bounds_rate,collision_count,collision_rate
same_distribution,base-seed1,crossing_left,60,52,0.8666666666666667,"[0.7583484032350039, 0.9308589051941303]",873.3431889874824,873.3431889874824,0.0,4.480350179944332,12.390118481051013,-0.0707858260238589,-0.4327700183793945,0.9620494230373129,27.742307692307694,1.0,1.0,3.0,15,15,1.0,,3,0.05,5,0.08333333333333333,0,0.0,0,0.0,8,0.13333333333333333
same_distribution,base-seed1,crossing_right,60,47,0.7833333333333333,"[0.6637997242680521, 0.868769559518097]",818.1806242182084,818.1806242182084,0.0,7.149217167955365,7.922617119733753,-0.4253844179937118,-0.4249930984189216,0.9486874371868794,28.136170212765958,1.0,1.0,3.0,16,16,1.0,,7,0.11666666666666667,6,0.1,0,0.0,0,0.0,13,0.21666666666666667
same_distribution,base-seed1,head_on,60,34,0.5666666666666667,"[0.44103438776125564, 0.6842760319531324]",725.0241090759966,725.0241090759966,0.0,4.318753240864533,10.724334425950437,-0.592739347567103,-0.3040403612414755,0.9573231608836633,27.982352941176472,1.0,1.0,3.0,30,30,1.0,,24,0.4,2,0.03333333333333333,0,0.0,0,0.0,26,0.43333333333333335
same_distribution,base-seed1,overtaking,60,46,0.7666666666666667,"[0.6456372962239805, 0.8556043826335717]",776.9516484717467,776.9516484717467,0.0,5.619078623938328,9.672621485518127,-0.4111197483321938,1.6765042233361314,0.9687848147382294,27.76086956521739,1.0,1.0,2.7821496602511973,23,23,1.0,,14,0.23333333333333334,0,0.0,0,0.0,0,0.0,14,0.23333333333333334
same_distribution,base-seed2,crossing_left,60,25,0.4166666666666667,"[0.30064278558341617, 0.5427191897735989]",487.423222526544,487.423222526544,0.0,2.8899920758237347,8.437929737827707,-0.5149559747930263,-0.6439623983453724,0.9549499082012062,27.936000000000003,0.990770035304919,0.9901170828043447,3.0,44,44,1.0,,16,0.26666666666666666,19,0.31666666666666665,0,0.0,0,0.0,35,0.5833333333333334
same_distribution,base-seed2,crossing_right,60,50,0.8333333333333334,"[0.7196838683638547, 0.9068682302080855]",839.8614249274914,839.8614249274914,0.0,5.142828349774097,13.839797652115948,-0.212011097011433,-0.4997910602360367,0.9642367969627383,27.736000000000004,0.9890362797965866,0.9833104870734938,3.0,20,20,1.0,,6,0.1,4,0.06666666666666667,0,0.0,0,0.0,10,0.16666666666666666
same_distribution,base-seed2,head_on,60,47,0.7833333333333333,"[0.6637997242680521, 0.868769559518097]",832.3549494353284,832.3549494353284,0.0,5.554385487635711,10.760712104317713,-0.4832529203944391,-0.4035422924393876,0.9591736994267087,28.089361702127654,0.9925972933453249,0.991100691741691,3.0,20,20,1.0,,8,0.13333333333333333,5,0.08333333333333333,0,0.0,0,0.0,13,0.21666666666666667
same_distribution,base-seed2,overtaking,60,34,0.5666666666666667,"[0.44103438776125564, 0.6842760319531324]",545.0593101906068,545.0593101906068,0.0,4.7561430714735025,11.102077918275858,-0.5799192779720057,-0.1554768414190239,0.9726209012566618,27.764705882352942,0.9619830226110068,0.9621826514612999,2.8518107011961944,35,35,1.0,,23,0.38333333333333336,3,0.05,0,0.0,0,0.0,26,0.43333333333333335
same_distribution,base-seed3,crossing_left,60,38,0.6333333333333333,"[0.5068300063010303, 0.7437908331277456]",672.1494283922103,672.1494283922103,0.0,3.6561888794709394,7.319696699219686,-0.3047962299489208,-0.6220426789823983,0.9548382453147927,28.0,1.0,1.0,3.0,33,33,1.0,,6,0.1,16,0.26666666666666666,0,0.0,0,0.0,22,0.36666666666666664
same_distribution,base-seed3,crossing_right,60,51,0.85,"[0.7388541093022145, 0.9190255941983225]",850.1561743667302,850.1561743667302,0.0,5.469119419581506,12.408676057699761,-0.2875727719674428,-0.3304496634962843,0.9756219602511141,27.388235294117646,1.0,1.0,3.0,18,18,1.0,,5,0.08333333333333333,4,0.06666666666666667,0,0.0,0,0.0,9,0.15
