scenario_type,scenario_count,success_count,success_rate,static_collision_count,dynamic_collision_count,average_path_length,average_navigation_time,average_min_static_clearance,average_min_dynamic_clearance
low_dynamic_risk,5,4,0.8,0,1,78.77999999999999,27.160000000000004,6.747850475544693,16.285823851432305
static_dominant,5,4,0.8,0,1,78.9,27.2,7.512163981634098,17.855824370523003
crossing_up,6,3,0.5,1,2,69.90000000000002,24.200000000000003,15.714050278507187,6.982884820189334
crossing_down,6,5,0.8333333333333334,1,0,90.59999999999998,31.10000000000001,6.812324992166835,14.611716999291536
mixed_risk,5,4,0.8,1,0,86.81999999999998,29.840000000000003,7.022408442286304,12.261114106772713
high_risk,3,1,0.3333333333333333,2,0,71.30000000000003,24.66666666666667,5.708162337011828,12.7108086415461
